replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
Bas35	Bas35_00144	dmd	3491	defense-finder-models/ADF/Anti_TA/dmd	Bas35_dmd_29	1	1	1.0	1.0	1	dmd	mandatory	60	1.2e-33	114.3	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas35	Bas35_00222	acb2	3569	defense-finder-models/ADF/Anti_CBASS/acb2	Bas35_acb2_25	1	1	1.0	1.0	1	acb2	mandatory	88	8.6e-12	44.8	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas35	Bas35_00255	acb1	3591	defense-finder-models/ADF/Anti_CBASS/acb1	Bas35_acb1_24	1	1	1.0	1.0	1	acb1	mandatory	152	1.5e-67	225.3	0.993	0.98	2	150			Anti_CBASS	acb1	Antidefense
Bas36	Bas36_00031	alt	3642	defense-finder-models/ADF/Anti_TA/alt	Bas36_alt_34	1	1	1.0	1.0	2	alt	mandatory	685	6.1e-238	791.1	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas36	Bas36_00032	alt	3643	defense-finder-models/ADF/Anti_TA/alt	Bas36_alt_34	1	1	1.0	1.0	2	alt	mandatory	682	1.6e-259	862.4	0.999	0.999	1	681			Anti_TA	alt	Antidefense
Bas36	Bas36_00090	arn	3701	defense-finder-models/ADF/Anti_RM/arn	Bas36_arn_35	1	1	1.0	1.0	1	arn	mandatory	92	4.8e-59	196.3	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas36	Bas36_00144	adfa	3755	defense-finder-models/ADF/Anti_DarTG/adfa	Bas36_adfa_33	1	1	1.0	1.0	1	adfa	mandatory	208	5e-132	437.0	1.0	1.0	1	208			Anti_DarTG	adfa	Antidefense
Bas36	Bas36_00146	tifa	3757	defense-finder-models/ADF/Anti_TA/tifa	Bas36_tifa_37	1	1	1.0	1.0	1	tifa	mandatory	85	1e-46	156.0	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas36	Bas36_00147	dmd	3758	defense-finder-models/ADF/Anti_TA/dmd	Bas36_dmd_36	1	1	1.0	1.0	1	dmd	mandatory	60	1.2e-33	114.3	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas36	Bas36_00219	acb2	3830	defense-finder-models/ADF/Anti_CBASS/acb2	Bas36_acb2_32	1	1	1.0	1.0	1	acb2	mandatory	88	1.6e-12	47.1	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas36	Bas36_00252	acb1	3852	defense-finder-models/ADF/Anti_CBASS/acb1	Bas36_acb1_31	1	1	1.0	1.0	1	acb1	mandatory	152	1.5e-67	225.3	0.993	0.98	2	150			Anti_CBASS	acb1	Antidefense
Bas37	Bas37_00032	alt	3904	defense-finder-models/ADF/Anti_TA/alt	Bas37_alt_3	1	1	1.0	1.0	2	alt	mandatory	685	2.2e-237	789.2	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas37	Bas37_00033	alt	3905	defense-finder-models/ADF/Anti_TA/alt	Bas37_alt_3	1	1	1.0	1.0	2	alt	mandatory	697	1.4e-267	889.1	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas37	Bas37_00090	arn	3962	defense-finder-models/ADF/Anti_RM/arn	Bas37_arn_4	1	1	1.0	1.0	1	arn	mandatory	92	4.1e-61	202.9	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas37	Bas37_00138	dam	4010	defense-finder-models/ADF/Anti_RM/dam	Bas37_dam_5	1	1	1.0	1.0	1	dam	mandatory	259	2.8e-108	360.9	0.985	0.996	2	259			Anti_RM	dam	Antidefense
Bas37	Bas37_00144	tifa	4016	defense-finder-models/ADF/Anti_TA/tifa	Bas37_tifa_7	1	1	1.0	1.0	1	tifa	mandatory	85	2.1e-45	151.8	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas37	Bas37_00145	dmd	4017	defense-finder-models/ADF/Anti_TA/dmd	Bas37_dmd_6	1	1	1.0	1.0	1	dmd	mandatory	60	5.1e-33	112.2	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas37	Bas37_00218	acb2	4090	defense-finder-models/ADF/Anti_CBASS/acb2	Bas37_acb2_2	1	1	1.0	1.0	1	acb2	mandatory	88	1.6e-12	47.1	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas37	Bas37_00252	acb1	4114	defense-finder-models/ADF/Anti_CBASS/acb1	Bas37_acb1_1	1	1	1.0	1.0	1	acb1	mandatory	152	1.5e-67	225.3	0.993	0.98	2	150			Anti_CBASS	acb1	Antidefense
Bas38	Bas38_00033	alt	4167	defense-finder-models/ADF/Anti_TA/alt	Bas38_alt_41	1	1	1.0	1.0	2	alt	mandatory	685	5.5e-239	794.5	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas38	Bas38_00034	alt	4168	defense-finder-models/ADF/Anti_TA/alt	Bas38_alt_41	1	1	1.0	1.0	2	alt	mandatory	697	4.899999999999999e-268	890.5	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas38	Bas38_00144	adfa	4278	defense-finder-models/ADF/Anti_DarTG/adfa	Bas38_adfa_40	1	1	1.0	1.0	1	adfa	mandatory	210	7.4e-140	462.6	1.0	1.0	1	210			Anti_DarTG	adfa	Antidefense
Bas38	Bas38_00146	tifa	4280	defense-finder-models/ADF/Anti_TA/tifa	Bas38_tifa_43	1	1	1.0	1.0	1	tifa	mandatory	85	2.5e-46	154.8	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas38	Bas38_00147	dmd	4281	defense-finder-models/ADF/Anti_TA/dmd	Bas38_dmd_42	1	1	1.0	1.0	1	dmd	mandatory	60	1.7e-33	113.8	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas38	Bas38_00222	acb2	4356	defense-finder-models/ADF/Anti_CBASS/acb2	Bas38_acb2_39	1	1	1.0	1.0	1	acb2	mandatory	88	2.5e-12	46.5	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas38	Bas38_00253	acb1	4378	defense-finder-models/ADF/Anti_CBASS/acb1	Bas38_acb1_38	1	1	1.0	1.0	1	acb1	mandatory	151	1.4e-67	225.4	0.993	0.987	1	149			Anti_CBASS	acb1	Antidefense
Bas39	Bas39_00033	alt	4431	defense-finder-models/ADF/Anti_TA/alt	Bas39_alt_47	1	1	1.0	1.0	2	alt	mandatory	685	1.4e-238	793.2	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas39	Bas39_00034	alt	4432	defense-finder-models/ADF/Anti_TA/alt	Bas39_alt_47	1	1	1.0	1.0	2	alt	mandatory	697	8.299999999999999e-268	889.8	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas39	Bas39_00092	arn	4490	defense-finder-models/ADF/Anti_RM/arn	Bas39_arn_48	1	1	1.0	1.0	1	arn	mandatory	92	4.1e-61	202.9	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas39	Bas39_00146	adfa	4544	defense-finder-models/ADF/Anti_DarTG/adfa	Bas39_adfa_46	1	1	1.0	1.0	1	adfa	mandatory	208	4.1e-133	440.6	1.0	1.0	1	208			Anti_DarTG	adfa	Antidefense
Bas39	Bas39_00148	tifa	4546	defense-finder-models/ADF/Anti_TA/tifa	Bas39_tifa_50	1	1	1.0	1.0	1	tifa	mandatory	85	4.6e-47	157.1	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas39	Bas39_00149	dmd	4547	defense-finder-models/ADF/Anti_TA/dmd	Bas39_dmd_49	1	1	1.0	1.0	1	dmd	mandatory	60	3.1e-33	112.9	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas39	Bas39_00227	acb2	4625	defense-finder-models/ADF/Anti_CBASS/acb2	Bas39_acb2_45	1	1	1.0	1.0	1	acb2	mandatory	88	9.1e-13	47.9	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas39	Bas39_00261	acb1	4648	defense-finder-models/ADF/Anti_CBASS/acb1	Bas39_acb1_44	1	1	1.0	1.0	1	acb1	mandatory	151	1.4e-67	225.4	0.993	0.987	1	149			Anti_CBASS	acb1	Antidefense
Bas40	Bas40_00032	alt	4700	defense-finder-models/ADF/Anti_TA/alt	Bas40_alt_54	1	1	1.0	1.0	2	alt	mandatory	685	3.4e-238	791.9	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas40	Bas40_00033	alt	4701	defense-finder-models/ADF/Anti_TA/alt	Bas40_alt_54	1	1	1.0	1.0	2	alt	mandatory	697	1.6e-268	892.1	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas40	Bas40_00088	arn	4756	defense-finder-models/ADF/Anti_RM/arn	Bas40_arn_55	1	1	1.0	1.0	1	arn	mandatory	92	4.1e-61	202.9	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas40	Bas40_00140	adfa	4808	defense-finder-models/ADF/Anti_DarTG/adfa	Bas40_adfa_53	1	1	1.0	1.0	1	adfa	mandatory	212	7.2e-136	449.6	1.0	1.0	1	212			Anti_DarTG	adfa	Antidefense
Bas40	Bas40_00142	tifa	4810	defense-finder-models/ADF/Anti_TA/tifa	Bas40_tifa_58	1	1	1.0	1.0	1	tifa	mandatory	85	4.6e-47	157.1	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas40	Bas40_00143	dmd	4811	defense-finder-models/ADF/Anti_TA/dmd	Bas40_dmd_56	1	1	1.0	1.0	1	dmd	mandatory	60	2.6000000000000003e-33	113.2	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas40	Bas40_00215	acb2	4883	defense-finder-models/ADF/Anti_CBASS/acb2	Bas40_acb2_52	1	1	1.0	1.0	1	acb2	mandatory	88	1.3e-12	47.4	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas40	Bas40_00247	ipi	4904	defense-finder-models/ADF/Anti_RM/ipi	Bas40_ipi_57	1	1	1.0	1.0	1	ipi	mandatory	95	7.1e-51	169.5	1.0	1.0	1	95			Anti_RM	ipi	Antidefense
Bas40	Bas40_00248	acb1	4905	defense-finder-models/ADF/Anti_CBASS/acb1	Bas40_acb1_51	1	1	1.0	1.0	1	acb1	mandatory	151	1.4e-67	225.4	0.993	0.987	1	149			Anti_CBASS	acb1	Antidefense
Bas41	Bas41_00032	alt	4957	defense-finder-models/ADF/Anti_TA/alt	Bas41_alt_62	1	1	1.0	1.0	2	alt	mandatory	685	3.8000000000000004e-238	791.8	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas41	Bas41_00033	alt	4958	defense-finder-models/ADF/Anti_TA/alt	Bas41_alt_62	1	1	1.0	1.0	2	alt	mandatory	697	1.7999999999999998e-268	892.0	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas41	Bas41_00089	arn	5014	defense-finder-models/ADF/Anti_RM/arn	Bas41_arn_63	1	1	1.0	1.0	1	arn	mandatory	92	4.1e-61	202.9	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas41	Bas41_00144	adfa	5069	defense-finder-models/ADF/Anti_DarTG/adfa	Bas41_adfa_61	1	1	1.0	1.0	1	adfa	mandatory	208	4.9e-132	437.0	1.0	1.0	1	208			Anti_DarTG	adfa	Antidefense
Bas41	Bas41_00146	tifa	5071	defense-finder-models/ADF/Anti_TA/tifa	Bas41_tifa_66	1	1	1.0	1.0	1	tifa	mandatory	85	7e-47	156.5	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas41	Bas41_00147	dmd	5072	defense-finder-models/ADF/Anti_TA/dmd	Bas41_dmd_64	1	1	1.0	1.0	1	dmd	mandatory	60	3.1e-33	112.9	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas41	Bas41_00224	acb2	5149	defense-finder-models/ADF/Anti_CBASS/acb2	Bas41_acb2_60	1	1	1.0	1.0	1	acb2	mandatory	88	9.1e-13	47.9	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas41	Bas41_00256	ipi	5170	defense-finder-models/ADF/Anti_RM/ipi	Bas41_ipi_65	1	1	1.0	1.0	1	ipi	mandatory	95	1.3e-51	171.9	1.0	1.0	1	95			Anti_RM	ipi	Antidefense
Bas41	Bas41_00257	acb1	5171	defense-finder-models/ADF/Anti_CBASS/acb1	Bas41_acb1_59	1	1	1.0	1.0	1	acb1	mandatory	151	1.4e-67	225.4	0.993	0.987	1	149			Anti_CBASS	acb1	Antidefense
Bas42	Bas42_00031	alt	5222	defense-finder-models/ADF/Anti_TA/alt	Bas42_alt_70	1	1	1.0	1.0	2	alt	mandatory	685	2.7e-238	792.3	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas42	Bas42_00032	alt	5223	defense-finder-models/ADF/Anti_TA/alt	Bas42_alt_70	1	1	1.0	1.0	2	alt	mandatory	697	2.1999999999999998e-268	891.7	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas42	Bas42_00139	adfa	5330	defense-finder-models/ADF/Anti_DarTG/adfa	Bas42_adfa_69	1	1	1.0	1.0	1	adfa	mandatory	208	5.8e-134	443.3	1.0	1.0	1	208			Anti_DarTG	adfa	Antidefense
Bas42	Bas42_00141	tifa	5332	defense-finder-models/ADF/Anti_TA/tifa	Bas42_tifa_72	1	1	1.0	1.0	1	tifa	mandatory	85	6.1e-47	156.7	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas42	Bas42_00142	dmd	5333	defense-finder-models/ADF/Anti_TA/dmd	Bas42_dmd_71	1	1	1.0	1.0	1	dmd	mandatory	60	3.1e-33	112.9	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas42	Bas42_00219	acb2	5410	defense-finder-models/ADF/Anti_CBASS/acb2	Bas42_acb2_68	1	1	1.0	1.0	1	acb2	mandatory	88	1.3e-12	47.3	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas42	Bas42_00254	acb1	5435	defense-finder-models/ADF/Anti_CBASS/acb1	Bas42_acb1_67	1	1	1.0	1.0	1	acb1	mandatory	152	1.5e-67	225.3	0.993	0.98	2	150			Anti_CBASS	acb1	Antidefense
Bas43	Bas43_00032	alt	5487	defense-finder-models/ADF/Anti_TA/alt	Bas43_alt_126	1	1	1.0	1.0	2	alt	mandatory	685	6.5e-239	794.3	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas43	Bas43_00033	alt	5488	defense-finder-models/ADF/Anti_TA/alt	Bas43_alt_126	1	1	1.0	1.0	2	alt	mandatory	697	4.7e-268	890.6	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas43	Bas43_00092	arn	5547	defense-finder-models/ADF/Anti_RM/arn	Bas43_arn_127	1	1	1.0	1.0	1	arn	mandatory	92	5e-60	199.4	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas43	Bas43_00148	tifa	5603	defense-finder-models/ADF/Anti_TA/tifa	Bas43_tifa_129	1	1	1.0	1.0	1	tifa	mandatory	85	4.6e-47	157.1	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas43	Bas43_00149	dmd	5604	defense-finder-models/ADF/Anti_TA/dmd	Bas43_dmd_128	1	1	1.0	1.0	1	dmd	mandatory	60	3.1e-33	112.9	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas43	Bas43_00218	acb2	5673	defense-finder-models/ADF/Anti_CBASS/acb2	Bas43_acb2_125	1	1	1.0	1.0	1	acb2	mandatory	88	1.3e-12	47.3	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas44	Bas44_00032	alt	5749	defense-finder-models/ADF/Anti_TA/alt	Bas44_alt_120	1	1	1.0	1.0	2	alt	mandatory	685	1.2e-237	790.2	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas44	Bas44_00033	alt	5750	defense-finder-models/ADF/Anti_TA/alt	Bas44_alt_120	1	1	1.0	1.0	2	alt	mandatory	697	3.9e-268	890.9	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas44	Bas44_00088	arn	5805	defense-finder-models/ADF/Anti_RM/arn	Bas44_arn_121	1	1	1.0	1.0	1	arn	mandatory	92	4.1e-61	202.9	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas44	Bas44_00140	tifa	5857	defense-finder-models/ADF/Anti_TA/tifa	Bas44_tifa_124	1	1	1.0	1.0	1	tifa	mandatory	85	9.5e-47	156.1	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas44	Bas44_00141	dmd	5858	defense-finder-models/ADF/Anti_TA/dmd	Bas44_dmd_122	1	1	1.0	1.0	1	dmd	mandatory	60	2.6000000000000003e-33	113.2	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas44	Bas44_00217	acb2	5934	defense-finder-models/ADF/Anti_CBASS/acb2	Bas44_acb2_119	1	1	1.0	1.0	1	acb2	mandatory	88	1.3e-12	47.3	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas44	Bas44_00250	ipi	5956	defense-finder-models/ADF/Anti_RM/ipi	Bas44_ipi_123	1	1	1.0	1.0	1	ipi	mandatory	95	1.3e-51	171.9	1.0	1.0	1	95			Anti_RM	ipi	Antidefense
Bas44	Bas44_00251	acb1	5957	defense-finder-models/ADF/Anti_CBASS/acb1	Bas44_acb1_118	1	1	1.0	1.0	1	acb1	mandatory	151	1.4e-67	225.4	0.993	0.987	1	149			Anti_CBASS	acb1	Antidefense
Bas45	Bas45_00031	alt	6009	defense-finder-models/ADF/Anti_TA/alt	Bas45_alt_76	1	1	1.0	1.0	2	alt	mandatory	685	3.7e-238	791.8	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas45	Bas45_00032	alt	6010	defense-finder-models/ADF/Anti_TA/alt	Bas45_alt_76	1	1	1.0	1.0	2	alt	mandatory	697	3.2e-268	891.2	0.999	0.999	1	696			Anti_TA	alt	Antidefense
Bas45	Bas45_00087	arn	6065	defense-finder-models/ADF/Anti_RM/arn	Bas45_arn_77	1	1	1.0	1.0	1	arn	mandatory	92	3.2e-60	200.1	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas45	Bas45_00142	adfa	6120	defense-finder-models/ADF/Anti_DarTG/adfa	Bas45_adfa_75	1	1	1.0	1.0	1	adfa	mandatory	212	7.2e-136	449.6	1.0	1.0	1	212			Anti_DarTG	adfa	Antidefense
Bas45	Bas45_00144	tifa	6122	defense-finder-models/ADF/Anti_TA/tifa	Bas45_tifa_79	1	1	1.0	1.0	1	tifa	mandatory	85	4.6e-47	157.1	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
Bas45	Bas45_00145	dmd	6123	defense-finder-models/ADF/Anti_TA/dmd	Bas45_dmd_78	1	1	1.0	1.0	1	dmd	mandatory	60	2.6000000000000003e-33	113.2	0.939	1.0	1	60			Anti_TA	dmd	Antidefense
Bas45	Bas45_00223	acb2	6201	defense-finder-models/ADF/Anti_CBASS/acb2	Bas45_acb2_74	1	1	1.0	1.0	1	acb2	mandatory	88	1.5e-12	47.2	0.916	0.943	4	86			Anti_CBASS	acb2	Antidefense
Bas45	Bas45_00257	acb1	6227	defense-finder-models/ADF/Anti_CBASS/acb1	Bas45_acb1_73	1	1	1.0	1.0	1	acb1	mandatory	151	1.4e-67	225.4	0.993	0.987	1	149			Anti_CBASS	acb1	Antidefense
Bas46	Bas46_00032	alt	6279	defense-finder-models/ADF/Anti_TA/alt	Bas46_alt_83	1	1	1.0	1.0	1	alt	mandatory	695	1e-272	906.1	1.0	0.999	1	694			Anti_TA	alt	Antidefense
Bas46	Bas46_00128	adfa	6375	defense-finder-models/ADF/Anti_DarTG/adfa	Bas46_adfa_82	1	1	1.0	1.0	1	adfa	mandatory	216	2.5000000000000002e-130	431.5	1.0	1.0	1	216			Anti_DarTG	adfa	Antidefense
Bas46	Bas46_00132	dmd	6379	defense-finder-models/ADF/Anti_TA/dmd	Bas46_dmd_84	1	1	1.0	1.0	1	dmd	mandatory	62	3.7999999999999996e-35	119.1	0.939	1.0	1	62			Anti_TA	dmd	Antidefense
Bas46	Bas46_00207	acb2	6454	defense-finder-models/ADF/Anti_CBASS/acb2	Bas46_acb2_81	1	1	1.0	1.0	1	acb2	mandatory	88	1.7e-12	47.0	0.916	0.932	5	86			Anti_CBASS	acb2	Antidefense
Bas46	Bas46_00245	ipi	6490	defense-finder-models/ADF/Anti_RM/ipi	Bas46_ipi_85	1	1	1.0	1.0	1	ipi	mandatory	95	6.3e-50	166.5	0.989	0.989	1	94			Anti_RM	ipi	Antidefense
Bas46	Bas46_00246	acb1	6491	defense-finder-models/ADF/Anti_CBASS/acb1	Bas46_acb1_80	1	1	1.0	1.0	1	acb1	mandatory	151	2.8e-67	224.4	0.993	0.987	1	149			Anti_CBASS	acb1	Antidefense
Bas47	Bas47_00032	alt	6544	defense-finder-models/ADF/Anti_TA/alt	Bas47_alt_89	1	1	1.0	1.0	1	alt	mandatory	695	2.5000000000000002e-273	908.1	1.0	0.999	1	694			Anti_TA	alt	Antidefense
Bas47	Bas47_00133	adfa	6645	defense-finder-models/ADF/Anti_DarTG/adfa	Bas47_adfa_88	1	1	1.0	1.0	1	adfa	mandatory	216	4.9e-129	427.2	1.0	1.0	1	216			Anti_DarTG	adfa	Antidefense
Bas47	Bas47_00137	tifa	6649	defense-finder-models/ADF/Anti_TA/tifa	Bas47_tifa_93	1	1	1.0	1.0	1	tifa	mandatory	70	1.3000000000000001e-33	114.0	0.864	1.0	1	70			Anti_TA	tifa	Antidefense
Bas47	Bas47_00138	dmd	6650	defense-finder-models/ADF/Anti_TA/dmd	Bas47_dmd_90	1	1	1.0	1.0	1	dmd	mandatory	63	8.2e-36	121.2	0.955	1.0	1	63			Anti_TA	dmd	Antidefense
Bas47	Bas47_00215	acb2	6727	defense-finder-models/ADF/Anti_CBASS/acb2	Bas47_acb2_87	1	1	1.0	1.0	1	acb2	mandatory	81	3.5e-08	33.2	0.916	0.926	5	79			Anti_CBASS	acb2	Antidefense
Bas47	Bas47_00220	ipii	6732	defense-finder-models/ADF/Anti_RM/ipii	Bas47_ipii_92	1	1	1.0	1.0	1	ipii	mandatory	100	2.7e-54	180.8	1.0	0.98	1	98			Anti_RM	ipii	Antidefense
Bas47	Bas47_00250	ipi	6760	defense-finder-models/ADF/Anti_RM/ipi	Bas47_ipi_91	1	1	1.0	1.0	1	ipi	mandatory	95	2.1e-49	164.8	0.989	0.989	1	94			Anti_RM	ipi	Antidefense
Bas47	Bas47_00251	acb1	6761	defense-finder-models/ADF/Anti_CBASS/acb1	Bas47_acb1_86	1	1	1.0	1.0	1	acb1	mandatory	151	5.9e-67	223.4	0.993	0.987	1	149			Anti_CBASS	acb1	Antidefense
Bas60	Bas60_00233	narp1_adps	9486	defense-finder-models/ADF/NADP/NARP1	Bas60_NARP1_140	1	1	1.0	2.0	1	narp1_adps	mandatory	297	3.9e-92	307.9	0.848	0.896	14	279			NADP	NARP1	Antidefense
Bas60	Bas60_00234	narp1_namat	9487	defense-finder-models/ADF/NADP/NARP1	Bas60_NARP1_140	1	1	1.0	2.0	1	narp1_namat	mandatory	577	9.7e-207	686.9	0.989	0.979	2	566			NADP	NARP1	Antidefense
Bas61	Bas61_00234	narp1_adps	9728	defense-finder-models/ADF/NADP/NARP1	Bas61_NARP1_141	1	1	1.0	2.0	1	narp1_adps	mandatory	297	3.9e-92	307.9	0.848	0.896	14	279			NADP	NARP1	Antidefense
Bas61	Bas61_00235	narp1_namat	9729	defense-finder-models/ADF/NADP/NARP1	Bas61_NARP1_141	1	1	1.0	2.0	1	narp1_namat	mandatory	577	2.3e-207	689.0	0.989	0.979	2	566			NADP	NARP1	Antidefense
Bas62	Bas62_00227	narp1_adps	9962	defense-finder-models/ADF/NADP/NARP1	Bas62_NARP1_142	1	1	1.0	2.0	1	narp1_adps	mandatory	297	2.3999999999999998e-92	308.6	0.848	0.896	14	279			NADP	NARP1	Antidefense
Bas62	Bas62_00228	narp1_namat	9963	defense-finder-models/ADF/NADP/NARP1	Bas62_NARP1_142	1	1	1.0	2.0	1	narp1_namat	mandatory	577	2.4e-207	688.9	0.989	0.979	2	566			NADP	NARP1	Antidefense
Bas63	Bas63_00076	narp1_adps	10044	defense-finder-models/ADF/NADP/NARP1	Bas63_NARP1_143	1	1	1.0	2.0	1	narp1_adps	mandatory	293	1.1e-85	286.7	0.855	0.935	17	290			NADP	NARP1	Antidefense
Bas63	Bas63_00077	narp1_namat	10045	defense-finder-models/ADF/NADP/NARP1	Bas63_NARP1_143	1	1	1.0	2.0	1	narp1_namat	mandatory	593	2.5e-210	698.8	0.987	0.987	8	592			NADP	NARP1	Antidefense
Bas64	Bas64_00008	ocr	10097	defense-finder-models/ADF/Anti_RM/ocr	Bas64_ocr_107	1	1	1.0	1.0	1	ocr	mandatory	117	8.4e-62	205.7	1.0	0.983	1	115			Anti_RM	ocr	Antidefense
