replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	Accession	System	Length_sys	Dist_sys_close	Sys_close	Nb_sys_close	ID_sys_close	Type_sys_close	Assembly	Nuccore	Superkingdom	Phylum	Class	Order	Family	Subfamily	Genus	Species	Genus_source
GCA_016759265.1_ASM1675926v1_translated_cds	lcl|MW344056.1_prot_QQO89988.1_153	narp1_adps	153	ADF/NADP/NARP1	GCA_016759265.1_ASM1675926v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	290	4.7e-76	249.3	0.834	0.924	5	272	QQO89988.1	NARP1	3						GCA_016759265	MW344056.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage ABurr	Vibrio
GCA_016759265.1_ASM1675926v1_translated_cds	lcl|MW344056.1_prot_QQO89990.1_155	narp1_namat	155	ADF/NADP/NARP1	GCA_016759265.1_ASM1675926v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_namat	mandatory	529	9.300000000000001e-201	661.3	0.985	0.983	8	527	QQO89990.1	NARP1	3						GCA_016759265	MW344056.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage ABurr	Vibrio
GCA_016759275.1_ASM1675927v1_translated_cds	lcl|MW344055.1_prot_QQO89792.1_157	narp1_adps	157	ADF/NADP/NARP1	GCA_016759275.1_ASM1675927v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	290	5.9e-76	249.0	0.834	0.924	5	272	QQO89792.1	NARP1	3						GCA_016759275	MW344055.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage GRLPWR	Vibrio
GCA_016759275.1_ASM1675927v1_translated_cds	lcl|MW344055.1_prot_QQO89794.1_159	narp1_namat	159	ADF/NADP/NARP1	GCA_016759275.1_ASM1675927v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_namat	mandatory	537	7.499999999999999e-198	651.8	0.985	0.983	8	535	QQO89794.1	NARP1	3						GCA_016759275	MW344055.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage GRLPWR	Vibrio
GCA_016759535.1_ASM1675953v1_translated_cds	lcl|MW355480.1_prot_QQO89538.1_51	ral	51	ADF/Anti_RM/ral	GCA_016759535.1_ASM1675953v1_translated_cds_ral_3	1	1	1.0	1	ral	mandatory	64	2.2e-43	137.6	0.939	0.969	1	62	QQO89538.1	ral	1	2095.0	1.0	2.0	GCA_016759535.1_ASM1675953v1_translated_cds_abc1_1|GCA_016759535.1_ASM1675953v1_translated_cds_abc2_2	abc1|abc2	GCA_016759535	MW355480.1	Viruses	Uroviricota	Caudoviricetes				Lederbergvirus	Lederbergvirus P22	Salmonella
GCA_016759535.1_ASM1675953v1_translated_cds	lcl|MW355480.1_prot_QQO89545.1_58	abc1	58	ADF/Anti_RecBCD/abc1	GCA_016759535.1_ASM1675953v1_translated_cds_abc1_1	1	1	1.0	1	abc1	mandatory	94	1.6e-51	164.8	0.969	1.0	1	94	QQO89545.1	abc1	1	47.0	1.0	2.0	GCA_016759535.1_ASM1675953v1_translated_cds_ral_3|GCA_016759535.1_ASM1675953v1_translated_cds_abc2_2	abc2|ral	GCA_016759535	MW355480.1	Viruses	Uroviricota	Caudoviricetes				Lederbergvirus	Lederbergvirus P22	Salmonella
GCA_016759535.1_ASM1675953v1_translated_cds	lcl|MW355480.1_prot_QQO89546.1_59	abc2	59	ADF/Anti_RecBCD/abc2	GCA_016759535.1_ASM1675953v1_translated_cds_abc2_2	1	1	1.0	1	abc2	mandatory	97	4.4e-63	201.7	1.0	1.0	1	97	QQO89546.1	abc2	1	47.0	1.0	2.0	GCA_016759535.1_ASM1675953v1_translated_cds_ral_3|GCA_016759535.1_ASM1675953v1_translated_cds_abc1_1	abc1|ral	GCA_016759535	MW355480.1	Viruses	Uroviricota	Caudoviricetes				Lederbergvirus	Lederbergvirus P22	Salmonella
GCA_016759615.1_ASM1675961v1_translated_cds	lcl|MW388003.1_prot_QQO96823.1_122	atd1	122	ADF/Anti_Thoeris/atd1	GCA_016759615.1_ASM1675961v1_translated_cds_atd1_3	1	1	1.0	1	atd1	mandatory	208	3.5e-20	65.9	0.931	0.38	2	80	QQO96823.1	atd1	1	13818.0					GCA_016759615	MW388003.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Melin	Acinetobacter
GCA_016759615.1_ASM1675961v1_translated_cds	lcl|MW388003.1_prot_QQO96852.1_151	acb1	151	ADF/Anti_CBASS/acb1	GCA_016759615.1_ASM1675961v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	152	5.9e-63	205.0	0.993	0.993	1	151	QQO96852.1	acb1	1	13818.0					GCA_016759615	MW388003.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Melin	Acinetobacter
GCA_016759615.1_ASM1675961v1_translated_cds	lcl|MW388003.1_prot_QQO96902.1_201	alt	201	ADF/Anti_TA/alt	GCA_016759615.1_ASM1675961v1_translated_cds_alt_2	1	1	1.0	1	alt	mandatory	693	1e-200	662.6	0.997	0.99	7	692	QQO96902.1	alt	1	49039.0					GCA_016759615	MW388003.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Melin	Acinetobacter
GCA_016759625.1_ASM1675962v1_translated_cds	lcl|MW388001.1_prot_QQO96320.1_117	atd1	117	ADF/Anti_Thoeris/atd1	GCA_016759625.1_ASM1675962v1_translated_cds_atd1_3	1	1	1.0	1	atd1	mandatory	208	2.9e-21	69.3	0.931	0.38	2	80	QQO96320.1	atd1	1	13818.0					GCA_016759625	MW388001.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Minot	Acinetobacter
GCA_016759625.1_ASM1675962v1_translated_cds	lcl|MW388001.1_prot_QQO96349.1_146	acb1	146	ADF/Anti_CBASS/acb1	GCA_016759625.1_ASM1675962v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	152	1e-62	204.2	0.993	0.993	1	151	QQO96349.1	acb1	1	13818.0					GCA_016759625	MW388001.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Minot	Acinetobacter
GCA_016759625.1_ASM1675962v1_translated_cds	lcl|MW388001.1_prot_QQO96398.1_195	alt	195	ADF/Anti_TA/alt	GCA_016759625.1_ASM1675962v1_translated_cds_alt_2	1	1	1.0	1	alt	mandatory	693	2.7e-200	661.1	0.997	0.99	7	692	QQO96398.1	alt	1	48430.0					GCA_016759625	MW388001.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Minot	Acinetobacter
GCA_016456135.1_ASM1645613v1_translated_cds	lcl|MW281503.1_prot_QPY77395.1_159	tad1	159	ADF/Anti_Thoeris/tad1	GCA_016456135.1_ASM1645613v1_translated_cds_tad1_2	1	1	1.0	1	tad1	mandatory	123	4.2e-46	150.2	0.992	0.967	5	123	QPY77395.1	tad1	1	21673.0					GCA_016456135	MW281503.1	Viruses	Uroviricota	Caudoviricetes		Herelleviridae	Bastillevirinae	Bequatrovirus	Bequatrovirus troll	Bacillus
GCA_016456135.1_ASM1645613v1_translated_cds	lcl|MW281503.1_prot_QPY77440.1_204	apyc1	204	ADF/Anti_Pycsar/apyc1	GCA_016456135.1_ASM1645613v1_translated_cds_apyc1_1	1	1	1.0	1	apyc1	mandatory	238	5.6e-32	105.2	0.721	0.929	2	222	QPY77440.1	apyc1	1	21673.0					GCA_016456135	MW281503.1	Viruses	Uroviricota	Caudoviricetes		Herelleviridae	Bastillevirinae	Bequatrovirus	Bequatrovirus troll	Bacillus
GCA_016759635.1_ASM1675963v1_translated_cds	lcl|MW388002.1_prot_QQO96568.1_117	atd1	117	ADF/Anti_Thoeris/atd1	GCA_016759635.1_ASM1675963v1_translated_cds_atd1_3	1	1	1.0	1	atd1	mandatory	208	3e-21	69.3	0.931	0.38	2	80	QQO96568.1	atd1	1	13818.0					GCA_016759635	MW388002.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Mokit	Acinetobacter
GCA_016759635.1_ASM1675963v1_translated_cds	lcl|MW388002.1_prot_QQO96597.1_146	acb1	146	ADF/Anti_CBASS/acb1	GCA_016759635.1_ASM1675963v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	152	1e-62	204.2	0.993	0.993	1	151	QQO96597.1	acb1	1	13818.0					GCA_016759635	MW388002.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Mokit	Acinetobacter
GCA_016759635.1_ASM1675963v1_translated_cds	lcl|MW388002.1_prot_QQO96647.1_196	alt	196	ADF/Anti_TA/alt	GCA_016759635.1_ASM1675963v1_translated_cds_alt_2	1	1	1.0	1	alt	mandatory	693	2.8e-200	661.1	0.997	0.99	7	692	QQO96647.1	alt	1	49039.0					GCA_016759635	MW388002.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Twarogvirinae	Hadassahvirus	Acinetobacter phage Mokit	Acinetobacter
GCA_016811335.1_ASM1681133v1_translated_cds	lcl|MW331437.1_prot_QQV88058.1_38	rad	38	ADF/Anti_Retron/rad	GCA_016811335.1_ASM1681133v1_translated_cds_rad_1	1	1	1.0	1	rad	mandatory	171	1.7e-67	218.7	0.977	0.947	9	170	QQV88058.1	rad	1						GCA_016811335	MW331437.1	Viruses	Uroviricota	Caudoviricetes			Guernseyvirinae	Kagunavirus	Escherichia phage phiWAO78-1	Escherichia
GCA_016811355.1_ASM1681135v1_translated_cds	lcl|MW367898.1_prot_QQV89531.1_113	alt	113	ADF/Anti_TA/alt	GCA_016811355.1_ASM1681135v1_translated_cds_alt_2	1	1	1.0	1	alt	mandatory	687	5.2e-240	792.5	0.996	0.991	6	686	QQV89531.1	alt	1	50604.0					GCA_016811355	MW367898.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae		Bragavirus	Proteus phage SJ_PmiM	Proteus
GCA_016811355.1_ASM1681135v1_translated_cds	lcl|MW367898.1_prot_QQV89591.1_173	acb1	173	ADF/Anti_CBASS/acb1	GCA_016811355.1_ASM1681135v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	150	4.2e-62	202.3	0.954	0.967	5	149	QQV89591.1	acb1	1	50604.0					GCA_016811355	MW367898.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae		Bragavirus	Proteus phage SJ_PmiM	Proteus
GCA_016811385.1_ASM1681138v1_translated_cds	lcl|MW423798.1_prot_QQV89331.1_62	rad	62	ADF/Anti_Retron/rad	GCA_016811385.1_ASM1681138v1_translated_cds_rad_1	1	1	1.0	1	rad	mandatory	172	9.3e-68	220.4	0.977	0.959	5	169	QQV89331.1	rad	1						GCA_016811385	MW423798.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus bombadil	Salmonella
GCA_016811395.1_ASM1681139v1_translated_cds	lcl|MW423797.1_prot_QQV89171.1_31	narp1_namat	31	ADF/NADP/NARP1	GCA_016811395.1_ASM1681139v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_namat	mandatory	593	1.6e-212	699.6	0.987	0.987	8	592	QQV89171.1	NARP1	2						GCA_016811395	MW423797.1	Viruses	Uroviricota	Caudoviricetes			Ounavirinae	Felixounavirus	Salmonella phage vB Seyj1-1	Salmonella
GCA_016811395.1_ASM1681139v1_translated_cds	lcl|MW423797.1_prot_QQV89172.1_32	narp1_adps	32	ADF/NADP/NARP1	GCA_016811395.1_ASM1681139v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	293	7.5e-85	277.6	0.895	0.983	3	290	QQV89172.1	NARP1	2						GCA_016811395	MW423797.1	Viruses	Uroviricota	Caudoviricetes			Ounavirinae	Felixounavirus	Salmonella phage vB Seyj1-1	Salmonella
GCA_016811425.1_ASM1681142v1_translated_cds	lcl|MW344054.1_prot_QQV88262.1_158	narp1_adps	158	ADF/NADP/NARP1	GCA_016811425.1_ASM1681142v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	290	5.8e-76	249.0	0.834	0.924	5	272	QQV88262.1	NARP1	3						GCA_016811425	MW344054.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus gary	Vibrio
GCA_016811425.1_ASM1681142v1_translated_cds	lcl|MW344054.1_prot_QQV88264.1_160	narp1_namat	160	ADF/NADP/NARP1	GCA_016811425.1_ASM1681142v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_namat	mandatory	537	7.4e-198	651.8	0.985	0.983	8	535	QQV88264.1	NARP1	3						GCA_016811425	MW344054.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus gary	Vibrio
GCA_016811445.1_ASM1681144v1_translated_cds	lcl|MW394391.1_prot_QQV92024.1_193	narp1_namat	193	ADF/NADP/NARP1	GCA_016811445.1_ASM1681144v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_namat	mandatory	585	1e-195	645.7	0.979	0.966	19	583	QQV92024.1	NARP1	2						GCA_016811445	MW394391.1	Viruses	Uroviricota	Caudoviricetes					Klebsiella phage vB_KpM_FBKp24	Klebsiella
GCA_016811445.1_ASM1681144v1_translated_cds	lcl|MW394391.1_prot_QQV92090.1_194	narp1_adps	194	ADF/NADP/NARP1	GCA_016811445.1_ASM1681144v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	287	1.5e-93	307.6	0.824	0.909	9	269	QQV92090.1	NARP1	2						GCA_016811445	MW394391.1	Viruses	Uroviricota	Caudoviricetes					Klebsiella phage vB_KpM_FBKp24	Klebsiella
GCA_016811455.1_ASM1681145v1_translated_cds	lcl|MW394390.1_prot_QQV91757.1_79	gad2	79	ADF/Anti_Gabija/gad2	GCA_016811455.1_ASM1681145v1_translated_cds_gad2_3	1	1	1.0	1	gad2	mandatory	450	1.9e-85	281.4	0.924	0.84	19	396	QQV91757.1	gad2	1	26841.0					GCA_016811455	MW394390.1	Viruses	Uroviricota	Caudoviricetes			Stephanstirmvirinae		Klebsiella phage vB_KpM_FBKp34	Klebsiella
GCA_016811455.1_ASM1681145v1_translated_cds	lcl|MW394390.1_prot_QQV91922.1_137	atd1	137	ADF/Anti_Thoeris/atd1	GCA_016811455.1_ASM1681145v1_translated_cds_atd1_2	1	1	1.0	1	atd1	mandatory	83	2.9e-40	130.3	0.943	0.988	2	83	QQV91922.1	atd1	1	26841.0					GCA_016811455	MW394390.1	Viruses	Uroviricota	Caudoviricetes			Stephanstirmvirinae		Klebsiella phage vB_KpM_FBKp34	Klebsiella
GCA_016811455.1_ASM1681145v1_translated_cds	lcl|MW394390.1_prot_QQV91749.1_196	narp1_namat	196	ADF/NADP/NARP1	GCA_016811455.1_ASM1681145v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_namat	mandatory	561	4.7e-216	712.2	0.989	0.993	4	560	QQV91749.1	NARP1	3	48372.0					GCA_016811455	MW394390.1	Viruses	Uroviricota	Caudoviricetes			Stephanstirmvirinae		Klebsiella phage vB_KpM_FBKp34	Klebsiella
GCA_016811455.1_ASM1681145v1_translated_cds	lcl|MW394390.1_prot_QQV91779.1_198	narp1_adps	198	ADF/NADP/NARP1	GCA_016811455.1_ASM1681145v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	281	6.5e-95	311.6	0.814	0.904	11	264	QQV91779.1	NARP1	3	48372.0					GCA_016811455	MW394390.1	Viruses	Uroviricota	Caudoviricetes			Stephanstirmvirinae		Klebsiella phage vB_KpM_FBKp34	Klebsiella
GCA_016467505.1_ASM1646750v1_translated_cds	lcl|MT161459.1_prot_QIW86881.1_50	tad2	50	ADF/Anti_Thoeris/tad2_acriia7	GCA_016467505.1_ASM1646750v1_translated_cds_tad2_acriia7_2	1	1	1.0	1	tad2	mandatory	78	7.1e-27	87.6	0.74	0.936	5	77	QIW86881.1	tad2_acriia7	1	31768.0					GCA_016467505	MT161459.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae			Aeromonas phage Ahp1_CNU-2021	Aeromonas
GCA_016467505.1_ASM1646750v1_translated_cds	lcl|MT161459.1_prot_QIW87136.1_305	acb1	305	ADF/Anti_CBASS/acb1	GCA_016467505.1_ASM1646750v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	157	3.2000000000000004e-48	157.5	0.954	0.962	7	157	QIW87136.1	acb1	1	31768.0					GCA_016467505	MT161459.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae			Aeromonas phage Ahp1_CNU-2021	Aeromonas
GCA_016811475.1_ASM1681147v1_translated_cds	lcl|MW394388.1_prot_QQV91687.1_58	gnarl1	58	ADF/Other/gnarl1	GCA_016811475.1_ASM1681147v1_translated_cds_gnarl1_1	1	1	1.0	1	gnarl1	mandatory	53	1.6e-09	30.0	0.814	0.66	9	43	QQV91687.1	gnarl1	1						GCA_016811475	MW394388.1	Viruses	Uroviricota	Caudoviricetes		Schitoviridae		Efbeekayvirus	Efbeekayvirus Fbkp27	Klebsiella
GCA_016467515.1_ASM1646751v1_translated_cds	lcl|MW296865.1_prot_QQG31135.1_51	narp1_adps	51	ADF/NADP/NARP1	GCA_016467515.1_ASM1646751v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	293	1.4e-85	279.9	0.895	0.983	3	290	QQG31135.1	NARP1	2						GCA_016467515	MW296865.1	Viruses	Uroviricota	Caudoviricetes			Ounavirinae	Felixounavirus	Salmonella phage SP3_SHan-2021	Salmonella
GCA_016467515.1_ASM1646751v1_translated_cds	lcl|MW296865.1_prot_QQG31136.1_52	narp1_namat	52	ADF/NADP/NARP1	GCA_016467515.1_ASM1646751v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_namat	mandatory	593	5.2e-212	697.9	0.987	0.987	8	592	QQG31136.1	NARP1	2						GCA_016467515	MW296865.1	Viruses	Uroviricota	Caudoviricetes			Ounavirinae	Felixounavirus	Salmonella phage SP3_SHan-2021	Salmonella
GCA_016467545.1_ASM1646754v1_translated_cds	lcl|MW272540.1_prot_QQG33879.1_117	narp1_namat	117	ADF/NADP/NARP1	GCA_016467545.1_ASM1646754v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_namat	mandatory	511	1.8e-111	367.8	0.604	0.661	4	341	QQG33879.1	NARP1	5						GCA_016467545	MW272540.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Emmerichvirinae	Ishigurovirus	Aeromonas phage ZPAH1	Aeromonas
GCA_016467545.1_ASM1646754v1_translated_cds	lcl|MW272540.1_prot_QQG33883.1_121	narp1_adps	121	ADF/NADP/NARP1	GCA_016467545.1_ASM1646754v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	267	7.2e-88	289.2	0.821	0.959	10	265	QQG33883.1	NARP1	5						GCA_016467545	MW272540.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Emmerichvirinae	Ishigurovirus	Aeromonas phage ZPAH1	Aeromonas
GCA_016467565.1_ASM1646756v1_translated_cds	lcl|MW239124.1_prot_QQG32262.1_127	acb2	127	ADF/Anti_CBASS/acb2	GCA_016467565.1_ASM1646756v1_translated_cds_acb2_2	1	1	1.0	1	acb2	mandatory	89	7.9e-14	46.2	0.926	0.944	4	87	QQG32262.1	acb2	1	14241.0					GCA_016467565	MW239124.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Tevenvirinae	Karamvirus	Citrobacter phage CkP1	Citrobacter
GCA_016467565.1_ASM1646756v1_translated_cds	lcl|MW239124.1_prot_QQG32186.1_159	acb1	159	ADF/Anti_CBASS/acb1	GCA_016467565.1_ASM1646756v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	151	5.799999999999999e-68	221.4	0.993	0.987	1	149	QQG32186.1	acb1	1	14241.0					GCA_016467565	MW239124.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Tevenvirinae	Karamvirus	Citrobacter phage CkP1	Citrobacter
GCA_016467565.1_ASM1646756v1_translated_cds	lcl|MW239124.1_prot_QQG32073.1_213	alt	213	ADF/Anti_TA/alt	GCA_016467565.1_ASM1646756v1_translated_cds_alt_3	1	1	1.0	1	alt	mandatory	698	2e-282	932.8	0.997	0.999	1	697	QQG32073.1	alt	1	47592.0					GCA_016467565	MW239124.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Tevenvirinae	Karamvirus	Citrobacter phage CkP1	Citrobacter
GCA_016811595.1_ASM1681159v1_translated_cds	lcl|MW435855.1_prot_QQV92735.1_32	ntase	32	ADF/Anti_CBASS/ntase	GCA_016811595.1_ASM1681159v1_translated_cds_ntase_2	1	1	1.0	1	ntase	mandatory	250	1e-77	253.8	0.801	0.936	8	241	QQV92735.1	ntase	1	18002.0					GCA_016811595	MW435855.1	Viruses	Uroviricota	Caudoviricetes		Vilmaviridae	Lclasvirinae	Bronvirus	Bronvirus ohshaghennessy	Mycobacterium
GCA_016811595.1_ASM1681159v1_translated_cds	lcl|MW435855.1_prot_QQV92773.1_70	narp1_adps	70	ADF/NADP/NARP1	GCA_016811595.1_ASM1681159v1_translated_cds_NARP1_1	1	1	2.0	1	narp1_adps	mandatory	283	1.6000000000000001e-71	233.7	0.872	0.922	19	279	QQV92773.1	NARP1	2	18002.0					GCA_016811595	MW435855.1	Viruses	Uroviricota	Caudoviricetes		Vilmaviridae	Lclasvirinae	Bronvirus	Bronvirus ohshaghennessy	Mycobacterium
